EXIOBASE_code,EXIOBASE_industry_code,Year,Deforestation_area_ha,Deforestation_emissions_incl_peat_MtCO2,Deforestation_emissions_excl_peat_MtCO2
BR,i01.a,2016,8906.8614874075,4.78966808377482,4.48074223122628
BR,i01.a,2017,10686.0078645555,5.36976101045207,5.05897625939417
BR,i01.a,2018,10186.4044727766,4.9713402801349,4.68028891320443
BR,i01.c,2005,85601.6130619989,41.2234253908026,38.2221857796823
BR,i01.c,2006,74356.4042627244,35.9321834777138,32.64024722162
BR,i01.c,2007,75066.3316268446,35.5070571792003,31.9289058927018
BR,i01.c,2008,65511.7143151047,31.2786990823029,27.6660300631081
BR,i01.c,2009,57446.9506347769,26.9146431666434,23.4653633489059
BR,i01.c,2010,64139.8536171434,28.8267151779523,25.6458257696654
BR,i01.c,2011,81462.0954122194,36.9627665818842,33.6550437821013
BR,i01.c,2012,88088.024125447,38.4378291639097,34.9785999142412
BR,i01.c,2013,92583.2863499853,39.6923130809071,36.028346769949
BR,i01.c,2014,103378.382348104,43.4849921070649,39.7834020894532
BR,i01.c,2015,106019.485653781,45.5441724277726,41.8505253898351
BR,i01.c,2016,104438.200946355,43.8117477746651,40.2431346603865
BR,i01.c,2017,98055.732917518,42.3554500061596,38.3059251739059
BR,i01.c,2018,89351.8170894736,39.0500721907489,35.2688044478946
BR,i01.d,2005,57870.3333230401,22.9972028613315,20.679681230618
BR,i01.d,2006,53467.0095951773,20.4714529221212,18.0521616704222
BR,i01.d,2007,49816.8524409538,18.5865210720081,16.231716927841
BR,i01.d,2008,45675.3359244761,16.5644041938612,14.2920969262424
BR,i01.d,2009,42396.299539955,15.2979176933719,12.9691884191422
BR,i01.d,2010,37005.2327941338,13.2703199200984,11.1075963601146
BR,i01.d,2011,36475.1253094918,13.9509846569057,11.7454219147344
BR,i01.d,2012,35854.4625221104,14.2951944135991,12.4251487095014
BR,i01.d,2013,40336.6309091206,14.8627045907375,13.068643391091
BR,i01.d,2014,43847.2019387833,15.4697216298928,13.6020664543165
BR,i01.d,2015,45706.7402273786,15.6384060362694,13.8361625077711
BR,i01.d,2016,49775.8331520737,16.8007142041075,15.1206317316976
BR,i01.d,2017,48684.2509658159,15.1413971720169,13.5056324811225
BR,i01.d,2018,43292.1475993113,13.857608598893,12.2377898155775
BR,i01.e,2005,368447.103231989,166.126886710408,160.049891678381
BR,i01.e,2006,320234.200316988,145.287219309164,139.444803835638
BR,i01.e,2007,237633.909898796,108.61700421432,103.179248808074
BR,i01.e,2008,153171.948910809,70.0012610818608,64.596996052839
BR,i01.e,2009,97748.4099582727,41.6301061587106,36.0510660885897
BR,i01.e,2010,118749.983701178,49.9181766612451,43.982572068098
BR,i01.e,2011,153066.67036075,62.8800171456274,56.782115425376
BR,i01.e,2012,200024.000867376,78.6598882686762,72.5059832778366
BR,i01.e,2013,222252.596658182,86.2111817341901,79.4594060038668
BR,i01.e,2014,258978.958817254,100.402950998828,93.0684267224223
BR,i01.e,2015,274856.006517013,107.874635397022,100.078063703232
BR,i01.e,2016,276246.616912223,111.802651680649,103.819807738507
BR,i01.e,2017,251828.346290732,103.7580426627,95.7997211720546
BR,i01.e,2018,228421.997639173,96.6003889053244,88.3779274469069
BR,i01.f,2005,16627.5014321598,7.93237171361499,6.42374677473954
BR,i01.f,2006,15124.6225663065,7.3362020138703,5.67745772926669
BR,i01.f,2007,13891.5416732062,6.93992911674392,5.09960008167611
BR,i01.f,2008,14894.9956484695,7.35971077960778,5.3238299667336
BR,i01.f,2009,15650.9219178344,7.64743456609665,5.47057781443666
BR,i01.f,2010,18410.5058698219,8.4858467248811,6.20867323925768
BR,i01.f,2011,19019.3707273344,8.75152354095917,6.34901568772003
BR,i01.f,2012,18635.2354565878,8.42217892127712,6.05762129144213
BR,i01.f,2013,16280.3368536468,7.61427622090198,5.16953829371458
BR,i01.f,2014,14370.8731736219,7.02795368814254,4.52878933283351
BR,i01.f,2015,9855.36530583379,5.4559757959503,3.03191482553723
BR,i01.f,2016,7769.62428690213,4.74272891227971,2.30559472617195
BR,i01.f,2017,6632.12627625769,4.38612846486889,2.01848268062797
BR,i01.f,2018,6376.8449506517,4.38262354253168,2.02719293042793
BR,i01.g,2005,28266.6551784988,8.42117069118804,8.02585553311106
BR,i01.g,2006,29715.8804153345,8.48785550717225,8.16924684062023
BR,i01.g,2007,27603.5985863321,7.82193076732545,7.44585121273851
BR,i01.g,2008,20643.5911746588,5.59277445692992,5.24934562760547
BR,i01.g,2009,18513.7216100818,4.79257227290903,4.51577865162536
BR,i01.g,2010,19972.7137553773,5.69010582042755,5.41269561030428
BR,i01.g,2011,18691.1234856214,5.73445288760978,5.30814201292968
BR,i01.g,2012,17513.0431224116,5.32814612988746,4.92650826819818
BR,i01.g,2013,16814.511157967,5.07748721557344,4.79100720255106
BR,i01.g,2014,13419.7462809268,4.50326364280377,4.18239436222481
BR,i01.g,2015,7264.6281471396,2.37273826537964,2.0764000999658
BR,i01.g,2016,8461.84573973478,2.86411008297786,2.57842584177304
BR,i01.g,2017,10519.8568477158,3.72540678621756,3.48622111923043
BR,i01.g,2018,16776.9395439207,5.890735818195,5.59906812345574
BR,i01.h,2005,16707.0982782506,6.70704818300023,5.72929334428266
BR,i01.h,2006,12473.1440793614,5.24023044566636,4.25206551745844
BR,i01.h,2007,9283.0612875779,4.13153380367801,3.17573989517677
BR,i01.h,2008,7079.31980177681,3.30566937010769,2.39285767309645
BR,i01.h,2009,4613.56723368093,2.44098892914927,1.54662896754065
BR,i01.h,2010,4098.13590500275,2.23356523634633,1.35189924872007
BR,i01.h,2011,4935.77778667943,2.61665200935125,1.73380960263959
BR,i01.h,2012,5870.31444027334,2.78360159825901,1.93779160786408
BR,i01.h,2013,6997.22998822741,3.01523945991095,2.1911011494696
BR,i01.h,2014,8437.1129683262,3.33631877110278,2.52115898749456
BR,i01.h,2015,8218.81361365609,3.23084949030217,2.42536117869078
BR,i01.h,2016,7827.33938184039,3.00284304426035,2.19463386615483
BR,i01.h,2017,6508.63530172151,2.5137314361658,1.80292449295047
BR,i01.h,2018,6499.17961379063,2.21666393540375,1.49299720099005
BR,i01.i,2005,1914263.96687041,999.26518613303,999.26518613303
BR,i01.i,2006,1838270.83192268,980.20413476262,980.20413476262
BR,i01.i,2007,1619050.62560103,869.474141483752,869.474141483752
BR,i01.i,2008,1430788.29223279,772.600414394527,772.600414394527
BR,i01.i,2009,1167151.12278822,628.098243484431,628.098243484431
BR,i01.i,2010,941470.727251496,486.624151965707,486.624151965707
BR,i01.i,2011,733452.828288597,366.928371534763,366.928371534763
BR,i01.i,2012,640228.01781269,302.514702289952,302.514702289952
BR,i01.i,2013,598299.570112632,275.582403757862,275.582403757862
BR,i01.i,2014,682163.291033812,309.769969843425,309.769969843425
BR,i01.i,2015,752477.291666747,354.176947886322,354.176947886322
BR,i01.i,2016,914260.364208096,452.890862779424,452.890862779424
BR,i01.i,2017,1023044.14573863,529.285812069527,529.285812069527
BR,i01.i,2018,1172604.40972695,626.384395119728,626.384395119728
BR,i02,2005,53279.9389634942,5.34416931394399,5.34416931394399
BR,i02,2006,104205.108031435,10.0902767198519,10.0902767198519
BR,i02,2007,147982.311743145,13.9575857129599,13.9575857129599
BR,i02,2008,186325.722186372,17.287650409917,17.287650409917
BR,i02,2009,200780.147788052,18.4779528187098,18.4779528187098
BR,i02,2010,196939.925351711,18.8434218781377,18.8434218781377
BR,i02,2011,193699.8682838,18.4101061803824,18.4101061803824
BR,i02,2012,219116.69229324,19.3560237020349,19.3560237020349
BR,i02,2013,230036.115938989,18.9300653456561,18.9300653456561
BR,i02,2014,253640.203405397,19.8325284394712,19.8325284394712
BR,i02,2015,253825.665396296,17.411599680414,17.411599680414
BR,i02,2016,245074.425146397,14.6324244469001,14.6324244469001
BR,i02,2017,220861.817094267,11.8051628510511,11.8051628510511
BR,i02,2018,199769.281733564,10.1425927215205,10.1425927215205
CY,i01.b,2005,1.17089033313474,0.000352366993115556,0.000352366993115556
CY,i01.b,2006,0.629610699114732,0.0001875930038824,0.0001875930038824
CY,i01.b,2009,0.608228736775297,0.000188637147947969,0.000188637147947969
CY,i01.b,2010,0.608228736775297,0.000188637147947969,0.000188637147947969
CY,i01.b,2011,0.608228736775297,0.000188637147947969,0.000188637147947969
CY,i01.b,2012,0.608228736775297,0.000188637147947969,0.000188637147947969
CY,i01.b,2013,4.06116184143431,0.00119375870747987,0.00119375870747987
CY,i01.b,2014,5.83364460788605,0.00169735422012735,0.00169735422012735
CY,i01.b,2015,9.25219008894929,0.0027122113759086,0.0027122113759086
CY,i01.b,2016,9.25219008894929,0.0027122113759086,0.0027122113759086
CY,i01.b,2017,67.2394771977511,0.0208750623582088,0.0208750623582088
CY,i01.b,2018,65.919769047201,0.0205225372615531,0.0205225372615531
CY,i01.c,2005,12.7587560152042,0.00386719876588706,0.00386719876588706
CY,i01.c,2006,2.59276921440043,0.000772513330894097,0.000772513330894097
CY,i01.c,2007,0,5.94426088294591e-06,5.94426088294591e-06
CY,i01.c,2014,0.100753660887424,2.92958532129132e-05,2.92958532129132e-05
CY,i01.c,2015,0.126295290513929,3.68783486749045e-05,3.68783486749045e-05
CY,i01.c,2016,0.126295290513929,3.68783486749045e-05,3.68783486749045e-05
CY,i01.c,2017,0.126295290513929,3.68783486749045e-05,3.68783486749045e-05
CY,i01.c,2018,2.71503805676831,0.000828826881482004,0.000828826881482004
